Aloe-organic,$2.25,each,Organic
Apple-gala-organic,$2.38,/lb,Organic
Apple-granny-smith-organic,$2.06,/lb,Organic-Waxed
Apple-mutsu-minimally-treated,$1.17,/lb,Minimally-Treated-Waxed
Apricots-organic,$4.25,/lb,Organic
Artichokes,$1.38,each,Conventional
Arugula-loose-organic,$9.30,/lb,Organic
Arugula-5oz-local-organic,$4.30,each,Organic
Arugula-bunched-organic-twisties,$1.33,/bunch,Organic
Arugula-bunched,$0.86,/bunch,Conventional
Asparagus-bunched,$2.65,/lb,Conventional
Avocados-hass-#94225-organic,$3.86,/lb,Organic
Avocados-hass-#4225,$2.74,/lb,Conventional
Bananas-organic,$0.94,/lb,Organic
Basil-blue-spice-bag-organic,$3.36,each,Organic
Basil-bunch/bag-label-organic,$2.25,each,Organic
Basil-cinnamon-organic,$3.16,each,Organic
Basil-green-gotham-greens-pest/free,$3.54,each,Pesticide-Free
Basil-holy-cup-organic,$2.53,each,Organic
Basil-lemon-bag-organic,$3.16,each,Organic
Basil-lemon-cup-organic,$2.53,each,Organic
Basil-lime-bag-organic,$3.16,each,Organic
Basil-pistou-bag-organic,$3.16,each,Organic
Basil-purple-bag/bunch-organic,$3.16,each,Organic
Basil-purple-cup-organic,$2.53,each,Organic
Basil-thai-bag/bunch-organic,$3.16,each,Organic
Basil-thai-cup-organic,$2.53,each,Organic
Basil-thai-gotham-greens-pest/free,$3.54,each,Pesticide-Free
Basil,$1.54,/bunch,Conventional
Beans-fava-organic,$3.76,/lb,Organic
Beans-green-organic,$2.38,/lb,Organic
Beets--bunch-various-organic,$2.48,/bunch,Organic
Beets-chioggia-loose-organic,$2.47,/lb,Organic
Beets-gold-loose-organic,$1.43,/lb,Organic
Beets-red-loose-organic,$1.51,/lb,Organic
Blackberries--organic,$4.10,each,Organic
Blackberries-local-open-cup-IPM,$3.72,each,Integrated-Pest-Management
Blackberries-local-pint-organic,$4.65,each,Organic
Blackberries-NJ-small-organic,$3.04,each,Organic
Blueberries-local-fiber-pint-IPM,$4.35,each,Integrated-Pest-Management
Blueberries-NY-organic--HAND-PICKED,$5.77,each,Organic
Blueberries-pint,$1.85,each,Conventional
Bok-choy-baby-organic,$2.49,/lb,Organic
Bok-choy-baby-red-organic,$3.42,/lb,Organic
Bok-choy-organic,$1.59,/lb,Organic
Braising-greens-loose-organic,$10.41,/lb,Organic
Broccoli-slaw-organic,$3.45,each,Organic
Broccoli--California-organic,$2.00,/lb,Organic
Broccoli--local-organic,$1.88,/lb,Organic
Broccolirabe-(rapini),$2.97,/bunch,Conventional
Broccolini-organic,$1.89,/bunch,Organic
Burdock-Root-(Gobo)-organic,$6.79,/lb,Organic
Cabbage-green-organic,$1.11,/lb,Organic
Cabbage-napa-green-organic,$1.98,/lb,Organic
Cabbage-red-organic,$1.11,/lb,Organic
